X,Y,Index_,event_unique_id,year_,Division,homicide_type,occurrence_date,Hood_ID,Neighbourhood,Lat,Long,FID
-79.179496799999981,43.8042831,301,2198590,2007,D42,Shooting,2007-05-09T04:00:00.000Z,131,Rouge (131),43.8042831,-79.1794968,501
-79.5520859,43.726741799999985,302,2226769,2007,D23,Other,2007-05-14T04:00:00.000Z,5,Elms-Old Rexdale (5),43.7267418,-79.5520859,502
-79.390197799999981,43.7084122,303,2163954,2007,D53,Shooting,2007-05-18T04:00:00.000Z,99,Mount Pleasant East (99),43.7084122,-79.3901978,503
-79.540130599999983,43.7417984,304,2044021,2007,D31,Shooting,2007-05-21T04:00:00.000Z,22,Humbermede (22),43.7417984,-79.5401306,504
-79.3495636,43.7518005,305,1902458,2007,D31,Shooting,2007-05-23T04:00:00.000Z,42,Banbury-Don Mills (42),43.7518005,-79.3495636,505
-79.4013138,43.6496735,306,2151831,2007,D14,Shooting,2007-05-20T04:00:00.000Z,78,Kensington-Chinatown (78),43.6496735,-79.4013138,506
-79.4247971,43.643016799999984,715,GO-20143536404,2014,D14,Other,2014-12-15T05:00:00.000Z,84,Little Portugal (84),43.6430168,-79.4247971,507
-79.3767166,43.6624222,716,GO-201555992,2015,D51,Stabbing,2015-01-10T05:00:00.000Z,71,Cabbagetown-South St.James Town (71),43.6624222,-79.3767166,508
-79.412674,43.7813377,717,GO-201599853,2015,D32,Stabbing,2015-01-17T05:00:00.000Z,50,Newtonbrook East (50),43.7813377,-79.412674,509
-79.4493713,43.7208595,718,GO-2015159448,2015,D32,Shooting,2015-01-27T05:00:00.000Z,31,Yorkdale-Glen Park (31),43.7208595,-79.4493713,510
-79.4060211,43.6523132,719,GO-2015179790,2015,D14,Shooting,2015-01-31T05:00:00.000Z,78,Kensington-Chinatown (78),43.6523132,-79.4060211,511
-79.262207,43.7125587,720,GO-2015205271,2015,D41,Other,2015-02-04T05:00:00.000Z,120,Clairlea-Birchmount (120),43.7125587,-79.262207,512
-79.3208923,43.6839447,721,GO-2015346652,2015,D55,Shooting,2015-02-28T05:00:00.000Z,66,Danforth (66),43.6839447,-79.3208923,513
-79.3208923,43.6839447,722,GO-2015346652,2015,D55,Shooting,2015-02-28T05:00:00.000Z,66,Danforth (66),43.6839447,-79.3208923,514
-79.5486755,43.7013283,723,GO-2015453427,2015,D23,Shooting,2015-03-17T04:00:00.000Z,6,Kingsview Village-The Westway (6),43.7013283,-79.5486755,515
-79.5704117,43.676342,724,GO-2015473322,2015,D23,Stabbing,2015-03-21T04:00:00.000Z,7,Willowridge-Martingrove-Richview (7),43.676342,-79.5704117,516
-79.4832687,43.6205139,725,GO-2015457868,2015,D22,Other,2015-03-18T04:00:00.000Z,17,Mimico (includes Humber Bay Shores) (17),43.6205139,-79.4832687,517
-79.5864182,43.7325096,726,GO-2015531511,2015,D23,Shooting,2015-03-30T04:00:00.000Z,2,Mount Olive-Silverstone-Jamestown (2),43.7325096,-79.5864182,518
-79.4408569,43.6784363,727,GO-2015618195,2015,D13,Other,2015-04-14T04:00:00.000Z,92,Corso Italia-Davenport (92),43.6784363,-79.4408569,519
-79.263382,43.6922798,728,GO-2015669864,2015,D41,Stabbing,2015-04-23T04:00:00.000Z,122,Birchcliffe-Cliffside (122),43.6922798,-79.263382,520
-79.3034821,43.6951332,729,GO-2015586781,2015,D54,Other,2015-04-09T04:00:00.000Z,61,Taylor-Massey (61),43.6951332,-79.3034821,521
-79.1848831,43.7648697,730,GO-2015767516,2015,D43,Stabbing,2015-05-08T04:00:00.000Z,136,West Hill (136),43.7648697,-79.1848831,522
